caso,cara,fila,columna,esperado,detectado,correcto
caso_010,azul,3,3,Az,Az,1
caso_011,blanco,1,1,N,N,1
caso_011,blanco,1,2,B,B,1
caso_011,blanco,1,3,Az,Az,1
caso_011,blanco,2,1,A,A,1
caso_011,blanco,2,2,B,B,1
caso_011,blanco,2,3,V,V,1
caso_011,blanco,3,1,B,B,1
caso_011,blanco,3,2,V,V,1
caso_011,blanco,3,3,R,R,1
caso_011,amarillo,1,1,A,A,1
caso_011,amarillo,1,2,N,N,1
caso_011,amarillo,1,3,V,V,1
caso_011,amarillo,2,1,A,A,1
caso_011,amarillo,2,2,A,A,1
caso_011,amarillo,2,3,B,B,1
caso_011,amarillo,3,1,B,B,1
caso_011,amarillo,3,2,V,V,1
caso_011,amarillo,3,3,V,V,1
caso_011,rojo,1,1,R,R,1
caso_011,rojo,1,2,A,A,1
caso_011,rojo,1,3,V,V,1
caso_011,rojo,2,1,R,R,1
caso_011,rojo,2,2,R,R,1
caso_011,rojo,2,3,Az,Az,1
caso_011,rojo,3,1,Az,Az,1
caso_011,rojo,3,2,Az,Az,1
caso_011,rojo,3,3,Az,Az,1
caso_011,naranja,1,1,A,A,1
caso_011,naranja,1,2,Az,Az,1
caso_011,naranja,1,3,V,V,1
caso_011,naranja,2,1,V,V,1
caso_011,naranja,2,2,N,N,1
caso_011,naranja,2,3,R,R,1
caso_011,naranja,3,1,N,N,1
caso_011,naranja,3,2,B,B,1
caso_011,naranja,3,3,R,R,1
caso_011,verde,1,1,Az,Az,1
caso_011,verde,1,2,N,N,1
caso_011,verde,1,3,B,B,1
caso_011,verde,2,1,N,N,1
caso_011,verde,2,2,V,V,1
caso_011,verde,2,3,Az,Az,1
caso_011,verde,3,1,A,A,1
caso_011,verde,3,2,R,R,1
caso_011,verde,3,3,A,A,1
caso_011,azul,1,1,N,N,1
caso_011,azul,1,2,R,R,1
caso_011,azul,1,3,N,N,1
caso_011,azul,2,1,B,B,1
caso_011,azul,2,2,Az,Az,1
caso_011,azul,2,3,A,A,1
caso_011,azul,3,1,R,R,1
caso_011,azul,3,2,N,N,1
caso_011,azul,3,3,B,B,1
caso_012,blanco,1,1,V,V,1
caso_012,blanco,1,2,N,N,1
caso_012,blanco,1,3,A,A,1
caso_012,blanco,2,1,N,N,1
caso_012,blanco,2,2,B,B,1
caso_012,blanco,2,3,V,V,1
caso_012,blanco,3,1,V,V,1
caso_012,blanco,3,2,V,V,1
caso_012,blanco,3,3,Az,Az,1
caso_012,amarillo,1,1,N,N,1
caso_012,amarillo,1,2,Az,Az,1
caso_012,amarillo,1,3,Az,Az,1
caso_012,amarillo,2,1,Az,Az,1
caso_012,amarillo,2,2,A,A,1
caso_012,amarillo,2,3,B,B,1
caso_012,amarillo,3,1,R,R,1
caso_012,amarillo,3,2,R,R,1
caso_012,amarillo,3,3,V,V,1
caso_012,rojo,1,1,V,V,1
caso_012,rojo,1,2,R,R,1
caso_012,rojo,1,3,A,A,1
caso_012,rojo,2,1,R,R,1
caso_012,rojo,2,2,R,R,1
caso_012,rojo,2,3,B,B,1
caso_012,rojo,3,1,B,B,1
caso_012,rojo,3,2,N,N,1
caso_012,rojo,3,3,A,A,1
caso_012,naranja,1,1,B,B,1
caso_012,naranja,1,2,V,V,1
caso_012,naranja,1,3,A,A,1
caso_012,naranja,2,1,A,A,1
caso_012,naranja,2,2,N,N,1
caso_012,naranja,2,3,A,A,1
caso_012,naranja,3,1,R,R,1
caso_012,naranja,3,2,Az,Az,1
caso_012,naranja,3,3,R,R,1
caso_012,verde,1,1,Az,Az,1
caso_012,verde,1,2,R,R,1
caso_012,verde,1,3,B,B,1
caso_012,verde,2,1,B,B,1
caso_012,verde,2,2,V,V,1
caso_012,verde,2,3,A,A,1
caso_012,verde,3,1,B,B,1
caso_012,verde,3,2,B,B,1
caso_012,verde,3,3,N,N,1
caso_012,azul,1,1,N,N,1
caso_012,azul,1,2,V,V,1
caso_012,azul,1,3,N,N,1
caso_012,azul,2,1,N,N,1
caso_012,azul,2,2,Az,Az,1
caso_012,azul,2,3,A,A,1
caso_012,azul,3,1,R,R,1
caso_012,azul,3,2,Az,Az,1
caso_012,azul,3,3,Az,Az,1
caso_013,blanco,1,1,N,N,1
caso_013,blanco,1,2,Az,Az,1
caso_013,blanco,1,3,N,N,1
caso_013,blanco,2,1,N,N,1
caso_013,blanco,2,2,B,B,1
caso_013,blanco,2,3,A,A,1
caso_013,blanco,3,1,A,A,1
caso_013,blanco,3,2,N,N,1
caso_013,blanco,3,3,B,B,1
caso_013,amarillo,1,1,V,V,1
caso_013,amarillo,1,2,V,V,1
caso_013,amarillo,1,3,V,V,1
caso_013,amarillo,2,1,B,B,1
caso_013,amarillo,2,2,A,A,1
caso_013,amarillo,2,3,N,N,1
caso_013,amarillo,3,1,B,B,1
caso_013,amarillo,3,2,R,R,1
caso_013,amarillo,3,3,N,N,1
caso_013,rojo,1,1,B,B,1
caso_013,rojo,1,2,V,V,1
caso_013,rojo,1,3,R,R,1
caso_013,rojo,2,1,A,A,1
caso_013,rojo,2,2,R,R,1
caso_013,rojo,2,3,A,A,1
caso_013,rojo,3,1,V,V,1
caso_013,rojo,3,2,R,R,1
caso_013,rojo,3,3,Az,Az,1
caso_013,naranja,1,1,R,R,1
caso_013,naranja,1,2,A,A,1
caso_013,naranja,1,3,R,R,1
caso_013,naranja,2,1,V,V,1
caso_013,naranja,2,2,N,N,1
caso_013,naranja,2,3,R,R,1
caso_013,naranja,3,1,A,A,1
caso_013,naranja,3,2,N,N,1
caso_013,naranja,3,3,N,N,1
caso_013,verde,1,1,A,A,1
caso_013,verde,1,2,B,B,1
caso_013,verde,1,3,A,A,1
caso_013,verde,2,1,V,V,1
caso_013,verde,2,2,V,V,1
caso_013,verde,2,3,Az,Az,1
caso_013,verde,3,1,Az,Az,1
caso_013,verde,3,2,Az,Az,1
caso_013,verde,3,3,B,B,1
caso_013,azul,1,1,Az,Az,1
caso_013,azul,1,2,R,R,1
caso_013,azul,1,3,R,R,1
caso_013,azul,2,1,B,B,1
caso_013,azul,2,2,Az,Az,1
caso_013,azul,2,3,Az,Az,1
caso_013,azul,3,1,Az,Az,1
caso_013,azul,3,2,B,B,1
caso_013,azul,3,3,V,V,1
caso_014,blanco,1,1,R,R,1
caso_014,blanco,1,2,B,B,1
caso_014,blanco,1,3,Az,Az,1
caso_014,blanco,2,1,R,R,1
caso_014,blanco,2,2,B,B,1
caso_014,blanco,2,3,A,A,1
caso_014,blanco,3,1,Az,Az,1
caso_014,blanco,3,2,V,V,1
caso_014,blanco,3,3,V,V,1
caso_014,amarillo,1,1,Az,Az,1
caso_014,amarillo,1,2,R,R,1
caso_014,amarillo,1,3,A,A,1
caso_014,amarillo,2,1,N,N,1
caso_014,amarillo,2,2,A,A,1
caso_014,amarillo,2,3,B,B,1
caso_014,amarillo,3,1,R,R,1
caso_014,amarillo,3,2,B,B,1
caso_014,amarillo,3,3,A,A,1
caso_014,rojo,1,1,A,A,1
caso_014,rojo,1,2,R,R,1
caso_014,rojo,1,3,V,V,1
caso_014,rojo,2,1,N,N,1
caso_014,rojo,2,2,R,R,1
caso_014,rojo,2,3,A,A,1
caso_014,rojo,3,1,N,N,1
caso_014,rojo,3,2,V,V,1
caso_014,rojo,3,3,N,N,1
caso_014,naranja,1,1,V,V,1
caso_014,naranja,1,2,Az,Az,1
caso_014,naranja,1,3,R,R,1
caso_014,naranja,2,1,A,A,1
caso_014,naranja,2,2,N,N,1
caso_014,naranja,2,3,V,V,1
caso_014,naranja,3,1,B,B,1
caso_014,naranja,3,2,A,A,1
caso_014,naranja,3,3,Az,Az,1
caso_014,verde,1,1,A,A,1
caso_014,verde,1,2,N,N,1
caso_014,verde,1,3,B,B,1
caso_014,verde,2,1,R,R,1
caso_014,verde,2,2,V,V,1
caso_014,verde,2,3,N,N,1
caso_014,verde,3,1,N,N,1
caso_014,verde,3,2,Az,Az,1
caso_014,verde,3,3,N,N,1
caso_014,azul,1,1,R,R,1
caso_014,azul,1,2,Az,Az,1
caso_014,azul,1,3,V,V,1
caso_014,azul,2,1,Az,Az,1
caso_014,azul,2,2,Az,Az,1
caso_014,azul,2,3,B,B,1
caso_014,azul,3,1,B,B,1
caso_014,azul,3,2,V,V,1
caso_014,azul,3,3,B,B,1
caso_015,blanco,1,1,R,R,1
caso_015,blanco,1,2,B,B,1
caso_015,blanco,1,3,N,N,1
caso_015,blanco,2,1,R,R,1
caso_015,blanco,2,2,B,B,1
caso_015,blanco,2,3,N,N,1
caso_015,blanco,3,1,R,R,1
caso_015,blanco,3,2,B,B,1
caso_015,blanco,3,3,B,B,1
caso_015,amarillo,1,1,V,V,1
caso_015,amarillo,1,2,A,A,1
caso_015,amarillo,1,3,V,V,1
caso_015,amarillo,2,1,N,N,1
caso_015,amarillo,2,2,A,A,1
caso_015,amarillo,2,3,N,N,1
caso_015,amarillo,3,1,N,N,1
caso_015,amarillo,3,2,R,R,1
caso_015,amarillo,3,3,Az,Az,1
caso_015,rojo,1,1,N,N,1
caso_015,rojo,1,2,V,V,1
caso_015,rojo,1,3,Az,Az,1
caso_015,rojo,2,1,V,V,1
caso_015,rojo,2,2,R,R,1
caso_015,rojo,2,3,Az,Az,1
caso_015,rojo,3,1,R,R,1
caso_015,rojo,3,2,A,A,1
caso_015,rojo,3,3,N,N,1
caso_015,naranja,1,1,A,A,1
caso_015,naranja,1,2,A,A,1
caso_015,naranja,1,3,B,B,1
caso_015,naranja,2,1,R,R,1
caso_015,naranja,2,2,N,N,1
caso_015,naranja,2,3,A,A,1
caso_015,naranja,3,1,B,B,1
caso_015,naranja,3,2,V,V,1
caso_015,naranja,3,3,Az,Az,1
caso_015,verde,1,1,Az,Az,1
caso_015,verde,1,2,B,B,1
caso_015,verde,1,3,V,V,1
caso_015,verde,2,1,B,B,1
caso_015,verde,2,2,V,V,1
caso_015,verde,2,3,Az,Az,1
caso_015,verde,3,1,A,A,1
caso_015,verde,3,2,R,R,1
caso_015,verde,3,3,A,A,1
caso_015,azul,1,1,A,A,1
caso_015,azul,1,2,N,N,1
caso_015,azul,1,3,V,V,1
caso_015,azul,2,1,Az,Az,1
caso_015,azul,2,2,Az,Az,1
caso_015,azul,2,3,V,V,1
caso_015,azul,3,1,R,R,1
caso_015,azul,3,2,Az,Az,1
caso_015,azul,3,3,B,B,1
caso_016,blanco,1,1,V,V,1
caso_016,blanco,1,2,A,A,1
caso_016,blanco,1,3,Az,Az,1
caso_016,blanco,2,1,V,V,1
caso_016,blanco,2,2,B,B,1
caso_016,blanco,2,3,V,V,1
caso_016,blanco,3,1,A,A,1
caso_016,blanco,3,2,N,N,1
caso_016,blanco,3,3,R,R,1
caso_016,amarillo,1,1,A,A,1
caso_016,amarillo,1,2,R,R,1
caso_016,amarillo,1,3,N,N,1
caso_016,amarillo,2,1,R,R,1
caso_016,amarillo,2,2,A,A,1
caso_016,amarillo,2,3,Az,Az,1
caso_016,amarillo,3,1,A,A,1
caso_016,amarillo,3,2,Az,Az,1
caso_016,amarillo,3,3,V,V,1
caso_016,rojo,1,1,N,N,1
caso_016,rojo,1,2,B,B,1
caso_016,rojo,1,3,N,N,1
caso_016,rojo,2,1,V,V,1
caso_016,rojo,2,2,R,R,1
caso_016,rojo,2,3,A,A,1
caso_016,rojo,3,1,B,B,1
caso_016,rojo,3,2,Az,Az,1
caso_016,rojo,3,3,R,R,1
caso_016,naranja,1,1,V,V,1
caso_016,naranja,1,2,B,B,1
caso_016,naranja,1,3,A,A,1
caso_016,naranja,2,1,N,N,1
caso_016,naranja,2,2,N,N,1
caso_016,naranja,2,3,A,A,1
caso_016,naranja,3,1,B,B,1
caso_016,naranja,3,2,B,B,1
caso_016,naranja,3,3,B,B,1
caso_016,verde,1,1,Az,Az,1
caso_016,verde,1,2,N,N,1
caso_016,verde,1,3,R,R,1
caso_016,verde,2,1,V,V,1
caso_016,verde,2,2,V,V,1
caso_016,verde,2,3,R,R,1
caso_016,verde,3,1,B,B,1
caso_016,verde,3,2,N,N,1
caso_016,verde,3,3,Az,Az,1
caso_016,azul,1,1,N,N,1
caso_016,azul,1,2,B,B,1
caso_016,azul,1,3,R,R,1
caso_016,azul,2,1,R,R,1
caso_016,azul,2,2,Az,Az,1
caso_016,azul,2,3,A,A,1
caso_016,azul,3,1,V,V,1
caso_016,azul,3,2,Az,Az,1
caso_016,azul,3,3,Az,Az,1
caso_017,blanco,1,1,V,V,1
caso_017,blanco,1,2,B,B,1
caso_017,blanco,1,3,B,B,1
caso_017,blanco,2,1,Az,Az,1
caso_017,blanco,2,2,B,B,1
caso_017,blanco,2,3,V,V,1
caso_017,blanco,3,1,V,V,1
caso_017,blanco,3,2,N,N,1
caso_017,blanco,3,3,A,A,1
caso_017,amarillo,1,1,A,A,1
caso_017,amarillo,1,2,V,V,1
caso_017,amarillo,1,3,R,R,1
caso_017,amarillo,2,1,V,V,1
caso_017,amarillo,2,2,A,A,1
caso_017,amarillo,2,3,B,B,1
caso_017,amarillo,3,1,B,B,1
caso_017,amarillo,3,2,Az,Az,1
caso_017,amarillo,3,3,A,A,1
caso_017,rojo,1,1,R,R,1
caso_017,rojo,1,2,V,V,1
caso_017,rojo,1,3,V,V,1
caso_017,rojo,2,1,R,R,1
caso_017,rojo,2,2,R,R,1
caso_017,rojo,2,3,R,R,1
caso_017,rojo,3,1,A,A,1
caso_017,rojo,3,2,Az,Az,1
caso_017,rojo,3,3,N,N,1
caso_017,naranja,1,1,Az,Az,1
caso_017,naranja,1,2,A,A,1
caso_017,naranja,1,3,Az,Az,1
caso_017,naranja,2,1,A,A,1
caso_017,naranja,2,2,N,N,1
caso_017,naranja,2,3,R,R,1
caso_017,naranja,3,1,R,R,1
caso_017,naranja,3,2,A,A,1
caso_017,naranja,3,3,Az,Az,1
caso_017,verde,1,1,N,N,1
caso_017,verde,1,2,A,A,1
caso_017,verde,1,3,V,V,1
caso_017,verde,2,1,Az,Az,1
caso_017,verde,2,2,V,V,1
caso_017,verde,2,3,N,N,1
caso_017,verde,3,1,N,N,1
caso_017,verde,3,2,R,R,1
caso_017,verde,3,3,N,N,1
caso_017,azul,1,1,B,B,1
caso_017,azul,1,2,B,B,1
caso_017,azul,1,3,Az,Az,1
caso_017,azul,2,1,B,B,1
caso_017,azul,2,2,Az,Az,1
caso_017,azul,2,3,N,N,1
caso_017,azul,3,1,R,R,1
caso_017,azul,3,2,N,N,1
caso_017,azul,3,3,B,B,1
caso_018,blanco,1,1,V,V,1
caso_018,blanco,1,2,N,N,1
caso_018,blanco,1,3,N,N,1
caso_018,blanco,2,1,A,A,1
caso_018,blanco,2,2,B,B,1
caso_018,blanco,2,3,V,V,1
caso_018,blanco,3,1,Az,Az,1
caso_018,blanco,3,2,R,R,1
caso_018,blanco,3,3,N,N,1
caso_018,amarillo,1,1,A,A,1
caso_018,amarillo,1,2,V,V,1
caso_018,amarillo,1,3,V,V,1
caso_018,amarillo,2,1,R,R,1
caso_018,amarillo,2,2,A,A,1
caso_018,amarillo,2,3,V,V,1
caso_018,amarillo,3,1,R,R,1
caso_018,amarillo,3,2,R,R,1
caso_018,amarillo,3,3,N,N,1
caso_018,rojo,1,1,B,B,1
caso_018,rojo,1,2,V,V,1
caso_018,rojo,1,3,R,R,1
caso_018,rojo,2,1,Az,Az,1
caso_018,rojo,2,2,R,R,1
caso_018,rojo,2,3,Az,Az,1
caso_018,rojo,3,1,A,A,1
caso_018,rojo,3,2,B,B,1
caso_018,rojo,3,3,V,V,1
caso_018,naranja,1,1,V,V,1
caso_018,naranja,1,2,A,A,1
caso_018,naranja,1,3,Az,Az,1
caso_018,naranja,2,1,N,N,1
caso_018,naranja,2,2,N,N,1
caso_018,naranja,2,3,A,A,1
caso_018,naranja,3,1,A,A,1
caso_018,naranja,3,2,B,B,1
caso_018,naranja,3,3,R,R,1
caso_018,verde,1,1,N,N,1
caso_018,verde,1,2,Az,Az,1
caso_018,verde,1,3,A,A,1
caso_018,verde,2,1,Az,Az,1
caso_018,verde,2,2,V,V,1
caso_018,verde,2,3,A,A,1
caso_018,verde,3,1,B,B,1
caso_018,verde,3,2,N,N,1
caso_018,verde,3,3,B,B,1
caso_018,azul,1,1,R,R,1
caso_018,azul,1,2,B,B,1
caso_018,azul,1,3,Az,Az,1
caso_018,azul,2,1,R,R,1
caso_018,azul,2,2,Az,Az,1
caso_018,azul,2,3,N,N,1
caso_018,azul,3,1,Az,Az,1
caso_018,azul,3,2,B,B,1
caso_018,azul,3,3,B,B,1
caso_019,blanco,1,1,N,N,1
caso_019,blanco,1,2,R,R,1
caso_019,blanco,1,3,B,B,1
caso_019,blanco,2,1,V,V,1
caso_019,blanco,2,2,B,B,1
caso_019,blanco,2,3,Az,Az,1
caso_019,blanco,3,1,V,V,1
caso_019,blanco,3,2,N,N,1
caso_019,blanco,3,3,V,V,1
caso_019,amarillo,1,1,V,V,1
caso_019,amarillo,1,2,A,A,1
caso_019,amarillo,1,3,A,A,1
caso_019,amarillo,2,1,R,R,1
caso_019,amarillo,2,2,A,A,1
caso_019,amarillo,2,3,V,V,1
caso_019,amarillo,3,1,N,N,1
caso_019,amarillo,3,2,B,B,1
caso_019,amarillo,3,3,V,V,1
caso_019,rojo,1,1,A,A,1
caso_019,rojo,1,2,V,V,1
caso_019,rojo,1,3,B,B,1
caso_019,rojo,2,1,B,B,1
caso_019,rojo,2,2,R,R,1
caso_019,rojo,2,3,N,N,1
caso_019,rojo,3,1,Az,Az,1
caso_019,rojo,3,2,Az,Az,1
caso_019,rojo,3,3,Az,Az,1
caso_019,naranja,1,1,N,N,1
caso_019,naranja,1,2,A,A,1
caso_019,naranja,1,3,R,R,1
caso_019,naranja,2,1,B,B,1
caso_019,naranja,2,2,N,N,1
caso_019,naranja,2,3,R,R,1
caso_019,naranja,3,1,Az,Az,1
caso_019,naranja,3,2,N,N,1
caso_019,naranja,3,3,R,R,1
caso_019,verde,1,1,Az,Az,1
caso_019,verde,1,2,Az,Az,1
caso_019,verde,1,3,A,A,1
caso_019,verde,2,1,B,B,1
caso_019,verde,2,2,V,V,1
caso_019,verde,2,3,A,A,1
caso_019,verde,3,1,R,R,1
caso_019,verde,3,2,N,N,1
caso_019,verde,3,3,B,B,1
caso_019,azul,1,1,A,A,1
caso_019,azul,1,2,A,A,1
caso_019,azul,1,3,B,B,1
caso_019,azul,2,1,R,R,1
caso_019,azul,2,2,Az,Az,1
caso_019,azul,2,3,V,V,1
caso_019,azul,3,1,N,N,1
caso_019,azul,3,2,Az,Az,1
caso_019,azul,3,3,R,R,1
caso_020,blanco,1,1,V,V,1
caso_020,blanco,1,2,B,B,1
caso_020,blanco,1,3,N,N,1
caso_020,blanco,2,1,N,N,1
caso_020,blanco,2,2,B,B,1
caso_020,blanco,2,3,R,R,1
caso_020,blanco,3,1,Az,Az,1
caso_020,blanco,3,2,N,N,1
caso_020,blanco,3,3,B,B,1
caso_020,amarillo,1,1,V,V,1
caso_020,amarillo,1,2,A,A,1
caso_020,amarillo,1,3,A,A,1
caso_020,amarillo,2,1,R,R,1
caso_020,amarillo,2,2,A,A,1
caso_020,amarillo,2,3,V,V,1
caso_020,amarillo,3,1,V,V,1
caso_020,amarillo,3,2,B,B,1
caso_020,amarillo,3,3,Az,Az,1
caso_020,rojo,1,1,V,V,1
caso_020,rojo,1,2,V,V,1
caso_020,rojo,1,3,N,N,1
caso_020,rojo,2,1,Az,Az,1
caso_020,rojo,2,2,R,R,1
caso_020,rojo,2,3,N,N,1
caso_020,rojo,3,1,N,N,1
caso_020,rojo,3,2,B,B,1
caso_020,rojo,3,3,Az,Az,1
caso_020,naranja,1,1,B,B,1
caso_020,naranja,1,2,Az,Az,1
caso_020,naranja,1,3,A,A,1
caso_020,naranja,2,1,A,A,1
caso_020,naranja,2,2,N,N,1
caso_020,naranja,2,3,V,V,1
caso_020,naranja,3,1,R,R,1
caso_020,naranja,3,2,R,R,1
caso_020,naranja,3,3,R,R,1
caso_020,verde,1,1,R,R,1
caso_020,verde,1,2,B,B,1
caso_020,verde,1,3,Az,Az,1
caso_020,verde,2,1,N,N,1
caso_020,verde,2,2,V,V,1
caso_020,verde,2,3,Az,Az,1
caso_020,verde,3,1,N,N,1
caso_020,verde,3,2,Az,Az,1
caso_020,verde,3,3,R,R,1
caso_020,azul,1,1,A,A,1
caso_020,azul,1,2,A,A,1
caso_020,azul,1,3,B,B,1
caso_020,azul,2,1,V,V,1
caso_020,azul,2,2,Az,Az,1
caso_020,azul,2,3,R,R,1
caso_020,azul,3,1,B,B,1
caso_020,azul,3,2,A,A,1
caso_020,azul,3,3,A,A,1
